Year,Category,Name,Month,Time,Status,Latitude,Longitude,Maximum Wind
1904,TS,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1904,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1905,TS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1905,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1905,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1905,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1905,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1905,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1906,TS,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1906,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1906,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1906,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1906,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1906,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1908,TS,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1908,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0
1908,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1908,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1908,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1908,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1909,TS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1909,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1909,2,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1909,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1909,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1909,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1910,TS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1910,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1910,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1910,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1910,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1910,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1911,TS,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1911,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1911,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1911,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1911,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1911,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1912,TS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1912,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0
1912,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1912,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1912,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1912,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1913,TS,3.0,3.0,3.0,3.0,3.0,3.0,3.0
1913,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1913,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1913,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1913,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1913,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1915,TS,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1915,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1915,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1915,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1915,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1915,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1916,TS,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1916,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1916,2,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1916,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1916,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1916,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1917,TS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1917,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1917,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1917,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1917,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1917,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1918,TS,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1918,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1918,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1918,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1918,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1918,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1919,TS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1919,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1919,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1919,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1919,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
