,ID,Name,Date,Time,Status,Latitude,Longitude,Maximum Wind
221,AL051852,            UNNAMED,1852-10-09,1200, HU,28.0N,85.5W,90
222,AL051852,            UNNAMED,1852-10-09,1800, HU,29.2N,84.9W,90
223,AL051852,            UNNAMED,1852-10-09,2100, HU,29.9N,84.4W,90
224,AL051852,            UNNAMED,1852-10-10,0, HU,30.5N,83.9W,80
225,AL051852,            UNNAMED,1852-10-10,600, TS,31.8N,82.8W,60
226,AL051852,            UNNAMED,1852-10-10,1200, TS,33.0N,81.1W,50
227,AL051852,            UNNAMED,1852-10-10,1800, TS,34.0N,79.5W,50
228,AL051852,            UNNAMED,1852-10-11,0, TS,35.0N,77.0W,50
229,AL051852,            UNNAMED,1852-10-11,600, TS,36.0N,74.0W,50
230,AL051852,            UNNAMED,1852-10-11,1200, TS,38.0N,70.0W,60
231,AL051852,            UNNAMED,1852-10-11,1800, TS,40.0N,66.0W,60
232,AL011853,            UNNAMED,1853-08-05,1200, TS,32.5N,69.0W,50
233,AL021853,            UNNAMED,1853-08-10,1200, TS,12.0N,60.0W,40
234,AL031853,            UNNAMED,1853-08-30,0, TS,12.1N,23.2W,40
235,AL031853,            UNNAMED,1853-08-30,600, TS,12.3N,25.1W,40
236,AL031853,            UNNAMED,1853-08-30,1200, TS,12.5N,27.0W,40
237,AL031853,            UNNAMED,1853-08-30,1800, TS,12.8N,28.9W,40
238,AL031853,            UNNAMED,1853-08-31,0, TS,13.0N,30.9W,50
239,AL031853,            UNNAMED,1853-08-31,600, TS,13.3N,33.0W,50
240,AL031853,            UNNAMED,1853-08-31,1200, TS,13.6N,35.0W,60
241,AL031853,            UNNAMED,1853-08-31,1800, TS,13.9N,36.8W,60
242,AL031853,            UNNAMED,1853-09-01,0, HU,14.2N,38.5W,70
243,AL031853,            UNNAMED,1853-09-01,600, HU,14.6N,40.5W,70
244,AL031853,            UNNAMED,1853-09-01,1200, HU,14.9N,42.3W,80
245,AL031853,            UNNAMED,1853-09-01,1800, HU,15.2N,43.9W,80
246,AL031853,            UNNAMED,1853-09-02,0, HU,15.7N,45.7W,90
247,AL031853,            UNNAMED,1853-09-02,600, HU,16.2N,47.3W,90
248,AL031853,            UNNAMED,1853-09-02,1200, HU,16.7N,49.0W,100
249,AL031853,            UNNAMED,1853-09-02,1800, HU,17.4N,51.0W,110
250,AL031853,            UNNAMED,1853-09-03,0, HU,18.2N,52.8W,120
251,AL031853,            UNNAMED,1853-09-03,600, HU,19.1N,54.6W,130
252,AL031853,            UNNAMED,1853-09-03,1200, HU,19.7N,56.2W,130
253,AL031853,            UNNAMED,1853-09-03,1800, HU,20.7N,58.0W,130
254,AL031853,            UNNAMED,1853-09-04,0, HU,21.2N,59.9W,120
255,AL031853,            UNNAMED,1853-09-04,600, HU,22.0N,61.8W,120
256,AL031853,            UNNAMED,1853-09-04,1200, HU,22.7N,63.7W,120
257,AL031853,            UNNAMED,1853-09-04,1800, HU,23.4N,65.3W,120
258,AL031853,            UNNAMED,1853-09-05,0, HU,24.2N,67.1W,120
259,AL031853,            UNNAMED,1853-09-05,600, HU,25.0N,68.6W,120
260,AL031853,            UNNAMED,1853-09-05,1200, HU,25.8N,70.1W,120
261,AL031853,            UNNAMED,1853-09-05,1800, HU,26.6N,71.1W,120
262,AL031853,            UNNAMED,1853-09-06,0, HU,27.3N,72.0W,120
263,AL031853,            UNNAMED,1853-09-06,600, HU,28.2N,72.9W,120
264,AL031853,            UNNAMED,1853-09-06,1200, HU,29.1N,73.5W,120
265,AL031853,            UNNAMED,1853-09-06,1800, HU,30.2N,74.0W,120
266,AL031853,            UNNAMED,1853-09-07,0, HU,31.2N,74.3W,110
267,AL031853,            UNNAMED,1853-09-07,600, HU,32.5N,74.1W,110
268,AL031853,            UNNAMED,1853-09-07,1200, HU,33.7N,73.9W,100
269,AL031853,            UNNAMED,1853-09-07,1800, HU,34.9N,72.9W,100
270,AL031853,            UNNAMED,1853-09-08,0, HU,36.0N,71.6W,100
271,AL031853,            UNNAMED,1853-09-08,600, HU,36.8N,69.9W,100
272,AL031853,            UNNAMED,1853-09-08,1200, HU,37.5N,67.9W,100
273,AL031853,            UNNAMED,1853-09-08,1800, HU,38.2N,65.4W,100
